project,date_trunc,usd_volume
Futureswap,2021-05-09T00:00:00+00:00,
Curve,2021-04-24T00:00:00+00:00,128391351.87531234684289
LINKSWAP,2021-04-28T00:00:00+00:00,295442.51235970096807
airswap,2021-05-01T00:00:00+00:00,3676655.3091584462669
LINKSWAP,2021-05-13T00:00:00+00:00,113084.264530959130
1inch LP,2021-05-02T00:00:00+00:00,94625.2121672166
1inch LP,2021-05-08T00:00:00+00:00,37291.3867071636
Sushiswap,2021-04-30T00:00:00+00:00,285591915.78634558952799403360
Kyber,2021-05-22T00:00:00+00:00,6496940.8990460868603
Kyber,2021-04-29T00:00:00+00:00,5344770.71960302774872
Tokenlon,2021-05-17T00:00:00+00:00,120946898.481892590344
1inch LP,2021-05-10T00:00:00+00:00,36551.4858781339
Futureswap,2021-04-25T00:00:00+00:00,
Synthetix,2021-05-23T00:00:00+00:00,198992686.29377064619367592232
Tokenlon,2021-05-12T00:00:00+00:00,141272763.348485957118
Futureswap,2021-05-21T00:00:00+00:00,
Curve,2021-05-11T00:00:00+00:00,205433315.01080967643159
Uniswap,2021-04-25T00:00:00+00:00,959637139.3871144241209985104016
Futureswap,2021-04-29T00:00:00+00:00,
Synthetix,2021-04-28T00:00:00+00:00,28299133.773022887238394793280000
LINKSWAP,2021-04-29T00:00:00+00:00,268939.4758651004615
Curve,2021-05-19T00:00:00+00:00,918951166.09694881222341
1inch LP,2021-05-12T00:00:00+00:00,45309.9994286052
Bancor Network,2021-04-29T00:00:00+00:00,99984873.7075464228637842
0x Native,2021-05-11T00:00:00+00:00,286741761.117676472520517360483456
LINKSWAP,2021-05-16T00:00:00+00:00,59399.6339296522667
DDEX,2021-05-19T00:00:00+00:00,196624.38210426
Tokenlon,2021-05-13T00:00:00+00:00,163786300.464406944682
Tokenlon,2021-05-08T00:00:00+00:00,111251388.973997301198
Sushiswap,2021-05-10T00:00:00+00:00,815418070.92608952148748045806
Bancor Network,2021-05-03T00:00:00+00:00,107454985.31125655898777
dodo,2021-04-24T00:00:00+00:00,33934887.2660615525618
Curve,2021-05-15T00:00:00+00:00,163202409.30101950880376
Bancor Network,2021-04-25T00:00:00+00:00,94308617.63505511943218699059
Mooniswap,2021-04-25T00:00:00+00:00,860467.7030046605938
0x Native,2021-05-10T00:00:00+00:00,525499689.06276536254915773927
Synthetix,2021-05-01T00:00:00+00:00,12099186.96239596844818404277
dodo,2021-05-02T00:00:00+00:00,34707297.222257783259
Kyber,2021-05-17T00:00:00+00:00,17798439.7313154104335
Curve,2021-05-12T00:00:00+00:00,277643317.046501234788
Synthetix,2021-04-27T00:00:00+00:00,14997788.03260809274520859563
Tokenlon,2021-05-10T00:00:00+00:00,127254210.48224185628
Bancor Network,2021-04-27T00:00:00+00:00,114828481.14671534383427310706
Kyber,2021-05-14T00:00:00+00:00,13056896.5776768154928
Synthetix,2021-05-13T00:00:00+00:00,36041946.08634351167851663377
Balancer,2021-05-09T00:00:00+00:00,76835963.4192000101552
Futureswap,2021-05-19T00:00:00+00:00,
Kyber,2021-04-30T00:00:00+00:00,4723928.9135885005826
dodo,2021-04-25T00:00:00+00:00,25719116.614815782922151556
Futureswap,2021-04-26T00:00:00+00:00,
Futureswap,2021-05-07T00:00:00+00:00,
Curve,2021-05-06T00:00:00+00:00,214217767.0000835779161
Mooniswap,2021-05-19T00:00:00+00:00,634040.541223162294
Futureswap,2021-05-16T00:00:00+00:00,
Mooniswap,2021-05-04T00:00:00+00:00,964855.25218782972619
Bancor Network,2021-05-14T00:00:00+00:00,123831777.24456205559188286365
Mooniswap,2021-05-05T00:00:00+00:00,553206.2707367899325
